Date,Open,High,Low,Close,Adj Close,Volume
2020-03-30,6045.000000,6535.000000,5835.000000,6380.000000,6380.000000,4341
2020-03-31,6505.000000,6660.000000,6340.000000,6475.000000,6475.000000,2305
2020-04-01,6455.000000,6465.000000,6155.000000,6210.000000,6210.000000,2656
2020-04-02,6400.000000,7345.000000,6380.000000,6865.000000,6865.000000,9591
2020-04-03,6890.000000,7100.000000,6625.000000,6800.000000,6800.000000,3943
2020-04-06,6820.000000,7375.000000,6785.000000,7330.000000,7330.000000,10939
2020-04-07,7350.000000,7515.000000,7105.000000,7330.000000,7330.000000,7749
2020-04-08,7195.000000,7475.000000,7160.000000,7335.000000,7335.000000,3066
2020-04-09,7335.000000,7415.000000,7090.000000,7290.000000,7290.000000,2793
2020-04-13,7160.000000,7160.000000,6555.000000,6810.000000,6810.000000,5395
2020-04-14,6855.000000,7010.000000,6785.000000,6950.000000,6950.000000,2232
2020-04-15,6895.000000,6950.000000,6685.000000,6740.000000,6740.000000,2144
2020-04-16,6735.000000,7205.000000,6465.000000,7105.000000,7105.000000,6364
2020-04-17,7105.000000,7235.000000,7010.000000,7080.000000,7080.000000,1863
2020-04-20,7200.000000,7255.000000,6765.000000,6795.000000,6795.000000,4302
2020-04-21,6875.000000,6960.000000,6780.000000,6890.000000,6890.000000,2879
2020-04-22,6920.000000,7195.000000,6830.000000,7115.000000,7115.000000,3504
2020-04-23,7115.000000,7805.000000,7045.000000,7540.000000,7540.000000,8039
2020-04-24,7610.000000,7620.000000,7400.000000,7460.859863,7460.859863,2367
2020-04-27,7665.000000,7905.000000,7645.000000,7780.000000,7780.000000,2872
2020-04-28,7845.000000,7875.000000,7735.000000,7780.000000,7780.000000,1762
2020-04-29,7800.000000,9065.000000,7780.000000,8825.000000,8825.000000,9729
2020-04-30,8940.000000,9560.000000,8480.000000,8930.000000,8930.000000,10524
2020-05-01,8850.000000,9145.000000,8655.000000,8840.000000,8840.000000,5127
2020-05-04,8965.000000,9060.000000,8600.000000,8935.000000,8935.000000,3992
2020-05-05,9055.000000,9225.000000,8835.000000,8985.000000,8985.000000,4675
2020-05-06,9035.000000,9515.000000,8980.000000,9340.000000,9340.000000,6330
2020-05-07,9370.000000,10115.000000,9105.000000,10010.000000,10010.000000,12108
2020-05-08,10010.000000,10220.000000,9820.000000,10030.000000,10030.000000,6747
2020-05-11,8820.000000,9275.000000,8220.000000,8795.000000,8795.000000,19225
2020-05-12,8680.000000,9050.000000,8560.000000,8870.000000,8870.000000,6912
2020-05-13,8845.000000,9430.000000,8830.000000,9270.000000,9270.000000,5001
2020-05-14,9400.000000,10070.000000,9355.000000,9725.000000,9725.000000,8874
2020-05-15,9855.000000,9930.000000,9170.000000,9395.000000,9395.000000,7857
2020-05-18,9795.000000,10035.000000,9515.000000,9745.000000,9745.000000,7691
2020-05-19,9745.000000,9955.000000,9505.000000,9680.000000,9680.000000,6700
2020-05-20,9755.000000,9895.000000,9330.000000,9570.000000,9570.000000,6276
2020-05-21,9585.000000,9610.000000,8815.000000,9075.000000,9075.000000,8797
2020-05-22,9185.000000,9285.000000,8945.000000,9175.000000,9175.000000,4564
2020-05-26,9050.000000,9065.000000,8630.000000,8785.000000,8785.000000,8287
2020-05-27,8850.000000,9265.000000,8810.000000,9170.000000,9170.000000,5653
2020-05-28,9095.000000,9555.000000,9055.000000,9450.000000,9450.000000,6137
2020-05-29,9460.000000,9610.000000,9350.000000,9443.429688,9443.429688,3864
2020-06-01,9530.000000,9775.000000,9465.000000,9650.000000,9650.000000,3656
2020-06-02,9745.000000,10565.000000,9335.000000,9580.000000,9580.000000,14048
2020-06-03,9580.000000,9730.000000,9465.000000,9655.000000,9655.000000,3179
2020-06-04,9665.000000,9985.000000,9535.000000,9895.000000,9895.000000,4328
2020-06-05,9865.000000,9950.000000,9675.000000,9800.000000,9800.000000,4508
2020-06-08,9810.000000,9900.000000,9720.000000,9780.000000,9780.000000,3757
2020-06-09,9630.000000,9985.000000,9620.000000,9805.000000,9805.000000,4291
2020-06-10,9905.000000,10130.000000,9720.000000,9935.000000,9935.000000,7010
2020-06-11,9945.000000,10060.000000,9090.000000,9300.000000,9300.000000,10869
2020-06-12,9380.000000,9610.000000,9265.000000,9465.000000,9465.000000,3848
2020-06-15,9370.000000,9525.000000,8930.000000,9440.000000,9440.000000,5850
2020-06-16,9475.000000,9630.000000,9415.000000,9530.000000,9530.000000,3436
2020-06-17,9540.000000,9600.000000,9255.000000,9325.000000,9325.000000,3206
2020-06-18,9425.000000,9515.000000,9320.000000,9410.000000,9410.000000,2135
2020-06-19,9385.000000,9465.000000,9245.000000,9315.000000,9315.000000,3481
2020-06-22,9350.000000,9700.000000,9280.000000,9585.000000,9585.000000,5062
2020-06-23,9725.000000,9755.000000,9600.000000,9660.000000,9660.000000,3811
2020-06-24,9665.000000,9685.000000,9180.000000,9285.000000,9285.000000,8255
2020-06-25,9245.000000,9315.000000,8985.000000,9280.000000,9280.000000,5012
2020-06-26,9285.000000,9300.000000,9055.000000,9084.200195,9084.200195,4195
2020-06-29,9175.000000,9240.000000,9050.000000,9200.000000,9200.000000,2742
2020-06-30,9255.000000,9295.000000,9100.000000,9185.000000,9185.000000,2856
2020-07-01,9200.000000,9390.000000,9140.000000,9325.000000,9325.000000,4789
2020-07-02,9280.000000,9335.000000,8950.000000,9060.000000,9060.000000,6562
2020-07-06,9100.000000,9435.000000,9060.000000,9355.000000,9355.000000,6890
2020-07-07,9350.000000,9455.000000,9250.000000,9290.000000,9290.000000,2975
2020-07-08,9310.000000,9570.000000,9285.000000,9510.000000,9510.000000,5163
2020-07-09,9505.000000,9545.000000,9190.000000,9255.000000,9255.000000,5931
2020-07-10,9275.000000,9285.000000,9145.000000,9275.000000,9275.000000,2296
2020-07-13,9290.000000,9410.000000,9240.000000,9270.000000,9270.000000,2844
2020-07-14,9275.000000,9320.000000,9135.000000,9310.000000,9310.000000,2869
2020-07-15,9295.000000,9320.000000,9165.000000,9190.000000,9190.000000,2330
2020-07-16,9240.000000,9265.000000,9040.000000,9145.000000,9145.000000,3344
2020-07-17,9130.000000,9220.000000,9095.000000,9195.000000,9195.000000,1674
2020-07-20,9200.000000,9280.000000,9155.000000,9190.000000,9190.000000,2432
2020-07-21,9205.000000,9480.000000,9175.000000,9395.000000,9395.000000,5408
2020-07-22,9415.000000,9435.000000,9295.000000,9425.000000,9425.000000,3117
2020-07-23,9425.000000,9735.000000,9425.000000,9650.000000,9650.000000,6653
2020-07-24,9665.000000,9665.000000,9505.000000,9615.000000,9615.000000,3110
2020-07-27,9925.000000,11055.000000,9925.000000,10895.000000,10895.000000,16157
2020-07-28,11080.000000,11540.000000,10635.000000,11035.000000,11035.000000,15293
2020-07-29,11060.000000,11350.000000,10890.000000,11240.000000,11240.000000,9081
2020-07-30,11350.000000,11405.000000,10835.000000,11145.000000,11145.000000,7340
2020-07-31,11155.000000,11245.000000,10985.000000,11207.500000,11207.500000,9692
2020-08-03,11350.000000,11720.000000,11180.000000,11620.000000,11620.000000,5333
2020-08-04,11560.000000,11600.000000,11125.000000,11370.000000,11370.000000,6915
2020-08-05,11385.000000,11975.000000,11190.000000,11850.000000,11850.000000,11366
2020-08-06,11930.000000,12085.000000,11705.000000,12040.000000,12040.000000,4902
2020-08-07,11990.000000,12085.000000,11395.000000,11575.000000,11575.000000,10007
2020-08-10,11800.000000,12220.000000,11645.000000,12015.000000,12015.000000,9860
2020-08-11,12005.000000,12090.000000,11190.000000,11435.000000,11435.000000,10291
2020-08-12,11340.000000,11745.000000,11220.000000,11665.000000,11665.000000,6069
2020-08-13,11600.000000,11760.000000,11340.000000,11590.000000,11590.000000,5062
2020-08-14,11765.000000,12000.000000,11740.000000,11935.000000,11935.000000,9980
2020-08-17,11950.000000,12635.000000,11905.000000,12485.000000,12485.000000,8883
2020-08-18,12470.000000,12555.000000,11850.000000,12035.000000,12035.000000,10621
2020-08-19,12100.000000,12150.000000,11580.000000,11690.000000,11690.000000,10164
2020-08-20,11740.000000,11950.000000,11710.000000,11895.000000,11895.000000,4860
2020-08-21,12125.000000,12125.000000,11600.000000,11695.000000,11695.000000,9663
